Protein ID,Compartment
Q9ESP1,ER
Q9CR67,ER
Q62186,ER
Q8BH97,ER
P97363,ER
Q91X78,ER
Q61334,ER
Q8BYB9,ER
Q921X9,ER
Q2HXL6,ER
Q9ER41,ER
Q8K297,ER
Q3UVK0,ER
Q9R0E1,ER
Q9Z247,ER
Q9D3B1,ER
Q3UN02,ER
Q61576,ER
Q9R0E2,ER
Q9ERR7,ER
Q9CXY9,ER
Q8BPG6,ER
Q07113,Endosome
G3X922,Endosome
Q62351,Endosome
Q9WVK4,Endosome
Q9EQH3,Endosome
P46638,Endosome
Q91V41,Endosome
P50516,Endosome
O54774,Endosome
Q9Z1G4,Endosome
Q6PHU5,Endosome
Q8VEH3,Endosome
Q8C0E2,Endosome
P62814,Endosome
Q91W86,Endosome
Q6P8X1,Endosome
Q8R5L3,Endosome
Q8CFE4,Endosome
Q6NZD2,Endosome
P97390,Endosome
Q9CWK8,Endosome
Q5KU39,Endosome
Q8K021,Endosome
Q99LI8,Endosome
Q9ER00,Endosome
Q3UHD6,Endosome
O70439,Endosome
P12023,Endosome
Q80WQ2,Endosome
Q8R307,Endosome
Q8C2E7,Endosome
G3X8X7,Endosome
Q9JKC8,Endosome
Q9Z1T1,Endosome
Q9D2N9,Endosome
A0A0N4SW73,Endosome
Q78ZM0,Endosome
Q91XH6,Endosome
P51863,Endosome
Q3UMB9,Endosome
P50518,Endosome
Q9QZ88,Endosome
Q8BVE3,Endosome
P70297,Endosome
Q3UXS0,Endosome
Q810B6,Endosome
P24668,Endosome
Q9D8U8,Endosome
Q9Z1G3,Endosome
P70280,Endosome
O88811,Endosome
P40336,Endosome
Q9JKK1,Endosome
Q9CQW2,Endosome
Q8C1Y8,Endosome
Q8BL66,Endosome
P15920,Endosome
P51791,Endosome
O88983,Endosome
E9Q4P1,Endosome
Q6NVF0,Endosome
Q9R0M6,Endosome
Q9R1Q9,Endosome
P56371,Endosome
Q9CR51,Endosome
Q9ERN0,Endosome
Q8BVI5,Endosome
Q9CWG9,Endosome
A3KGU7,Actin binding proteins
P63260,Actin binding proteins
Q61879,Actin binding proteins
Q62261,Actin binding proteins
Q8BTM8,Actin binding proteins
Q68FG2,Actin binding proteins
Q8VDD5,Actin binding proteins
Q80X90,Actin binding proteins
P57780,Actin binding proteins
Q9QXS6,Actin binding proteins
Q3UTJ2,Actin binding proteins
P26039,Actin binding proteins
Q9EP71,Actin binding proteins
Q7TPR4,Actin binding proteins
Q60598,Actin binding proteins
Q5SWZ5,Actin binding proteins
Q9WUM4,Actin binding proteins
E9QA15,Actin binding proteins
Q3THE2,Actin binding proteins
Q3UH68,Actin binding proteins
Q6R891,Actin binding proteins
Q60605,Actin binding proteins
Q9WUM3,Actin binding proteins
E9Q9C1,Actin binding proteins
Q8BQ30,Actin binding proteins
Q3TJD7,Actin binding proteins
Q9ET54,Actin binding proteins
Q8C0P5,Actin binding proteins
P16546,Actin binding proteins
P97434,Actin binding proteins
Q9D620,Endosome
Q80XQ2,Endosome
Q920Q4,Endosome
O70404,Endosome
O35609,Endosome
O88384,Endosome
O70492,Endosome
Q9EQP2,Endosome
P36371,ER
Q922R8,ER
P47758,ER
P21958,ER
Q9R233,ER
Q9CQS8,ER
Q9DBG6,ER
Q8VCH8,ER
P70227,ER
Q6PD26,ER
Q60870,ER_high_curvature
Q9CXE7,Ergic/cisGolgi
P27046,Golgi
Q8BXA1,Golgi
P84078,Golgi
Q62203,Large Protein Complex
Q99NB9,Large Protein Complex
O88487,Large Protein Complex
Q03963,Large Protein Complex
P61979,Large Protein Complex
P97461,Large Protein Complex
P63323,Large Protein Complex
P53026,Large Protein Complex
P49312,Large Protein Complex
P47964,Large Protein Complex
Q68FL6,Large Protein Complex
Q8R081,Large Protein Complex
Q62448,Large Protein Complex
Q80XI3,Large Protein Complex
P57776,Large Protein Complex
Q3TIR1,Large Protein Complex
Q922F4,Large Protein Complex
O08585,Large Protein Complex
Q8R313,Large Protein Complex
P16675,Lysosome
P97821,Lysosome
Q9ESY9,Lysosome
P56542,Lysosome
Q9WUU7,Lysosome
P20060,Lysosome
P50429,Lysosome
Q61207,Lysosome
O35143,Mitochondrion
Q8BMD8,Mitochondrion
Q9CYR0,Mitochondrion
P48410,Peroxisome
P51912,Plasma membrane
O35516,Plasma membrane
P13597,Plasma membrane
P15379,Plasma membrane
Q64455,Plasma membrane
Q8BG67,Plasma membrane
P70452,Plasma membrane
Q03145,Plasma membrane
Q9Z0M6,Plasma membrane
Q99KG5,Plasma membrane
Q9Z0F8,Plasma membrane
O88792,Plasma membrane
Q61072,Plasma membrane
Q9JL26,Plasma membrane
Q8BTY2,Plasma membrane
