Protein ID,Compartment
AT4G34700,Mitochondrion
AT4G35100,PM
AT4G35630,Plastid
AT4G36130,Ribosome
AT4G36220,ER
AT4G36480,ER
AT4G36890,Golgi
AT4G37410,ER
AT4G37640,ER
AT4G37830,Mitochondrion
AT4G38240,Golgi
AT4G39080,Vacuole
AT4G39200,Ribosome
AT4G39390,Golgi
AT4G39400,PM
AT4G39460,Plastid
AT5G01500,Plastid
AT5G02040,ER
AT5G02450,Ribosome
AT5G02610,Ribosome
AT5G02870,Ribosome
AT5G02960,Ribosome
AT5G03160,ER
AT5G03290,Mitochondrion
AT5G03850,Ribosome
AT5G04800,Ribosome
AT5G05000,Plastid
AT5G05370,Mitochondrion
AT5G05760,Golgi
AT5G05987,ER
AT5G06140,PostGolgi
AT5G07090,Ribosome
AT5G07110,ER
AT5G08080,PM
AT5G08530,Mitochondrion
AT5G08680,Mitochondrion
AT5G08690,Mitochondrion
AT5G08740,Mitochondrion
AT5G09420,Mitochondrion
AT5G09510,Ribosome
AT5G09590,Mitochondrion
AT5G09600,Mitochondrion
AT5G10360,Ribosome
AT5G10480,ER
AT5G11150,Vacuole
AT5G11690,Mitochondrion
AT5G11770,Mitochondrion
AT5G12130,Plastid
AT5G12200,ER
AT5G13430,Mitochondrion
AT5G13450,Mitochondrion
AT5G13510,Plastid
AT5G13530,PostGolgi
AT5G14320,Plastid
AT5G14950,Golgi
AT5G15090,Mitochondrion
AT5G15200,Ribosome
AT5G15520,Ribosome
AT5G15750,Ribosome
AT5G15760,Plastid
AT5G16130,Ribosome
AT5G16910,Golgi
AT5G17770,ER
AT5G18280,Golgi
AT5G18380,Ribosome
AT5G18480,Golgi
AT5G18800,Mitochondrion
AT5G19450,PM
AT5G19750,Plastid
AT5G19980,Golgi
AT5G20230,PM
AT5G20290,Ribosome
AT5G20350,Golgi
AT5G20720,Plastid
AT5G22440,Ribosome
AT5G23040,Plastid
AT5G23535,Mitochondrion
AT5G23630,ER
AT5G23740,Ribosome
AT5G23900,Ribosome
AT5G24020,Plastid
AT5G24290,ER
AT5G24360,ER
AT5G24650,Mitochondrion
AT5G25100,Golgi
AT5G25250,PM
AT5G25450,Mitochondrion
AT5G25900,Plastid
AT5G26030,Plastid
AT5G26240,PostGolgi
AT5G26860,Mitochondrion
AT5G26980,PostGolgi
AT5G27700,Ribosome
AT5G27760,Mitochondrion
AT5G27770,Ribosome
AT5G27820,Mitochondrion
AT5G27850,Ribosome
AT5G28060,Ribosome
AT5G28540,ER
AT5G30510,Plastid
AT5G33290,Golgi
AT5G34930,Plastid
AT5G35080,ER
AT5G35530,Ribosome
AT5G36290,Golgi
AT5G37510,Mitochondrion
AT5G39040,Vacuole
AT5G39510,Vacuole
AT5G39740,Ribosome
AT5G39850,Ribosome
AT5G40040,Ribosome
AT5G40650,Mitochondrion
AT5G40770,Mitochondrion
AT5G40810,Mitochondrion
AT5G40950,Plastid
AT5G41520,Ribosome
AT5G41600,ER
AT5G42020,ER
AT5G42080,PM
AT5G42270,Plastid
AT5G42480,Plastid
AT5G42590,ER
AT5G42650,Plastid
AT5G44140,Mitochondrion
AT5G44610,PM
AT5G44790,PostGolgi
AT5G45420,ER
AT5G45775,Ribosome
AT5G46430,Ribosome
AT5G46860,Vacuole
AT5G47030,Mitochondrion
AT5G47120,ER
AT5G47190,Plastid
AT5G47570,Mitochondrion
AT5G47700,Ribosome
AT5G47890,Mitochondrion
AT5G47930,Ribosome
AT5G47990,ER
AT5G48030,Mitochondrion
AT5G48760,Ribosome
AT5G48810,ER
AT5G48970,Mitochondrion
AT5G49720,Golgi
AT5G49945,ER
AT5G50375,ER
AT5G52650,Ribosome
AT5G52840,Mitochondrion
AT5G53070,Mitochondrion
AT5G53560,PM
AT5G54600,Plastid
AT5G55280,Plastid
AT5G55500,Golgi
AT5G55510,Plastid
AT5G55710,Plastid
AT5G56670,Ribosome
AT5G57110,PM
AT5G57290,Ribosome
AT5G57490,Mitochondrion
AT5G58270,Mitochondrion
AT5G58420,Ribosome
AT5G58440,PostGolgi
AT5G58970,Mitochondrion
AT5G59613,Mitochondrion
AT5G60360,Vacuole
AT5G60620,ER
AT5G60640,ER
AT5G60670,Ribosome
AT5G60730,Mitochondrion
